ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000753,0.2138856580209989,0.39901132081732194,1.0,Not Significant
ENSMUSG00000000759,0.10895651887149427,0.4627182133314931,1.0,Not Significant
ENSMUSG00000000776,0.5780220358705543,0.06697668484204297,1.0,Not Significant
ENSMUSG00000000782,0.1667589554311979,0.8206257154227445,1.0,Not Significant
ENSMUSG00000000787,-0.1720465431552718,0.745834357503816,1.0,Not Significant
ENSMUSG00000000791,0.09070864232568798,0.7766200249119606,1.0,Not Significant
ENSMUSG00000000792,0.006590493017263988,0.8633413911382015,1.0,Not Significant
ENSMUSG00000000794,0.11186235289871682,0.8951979555319551,1.0,Not Significant
ENSMUSG00000000804,-0.2440482908491557,0.6092286000703473,1.0,Not Significant
ENSMUSG00000000805,-0.24802743425559803,0.7007897351732698,1.0,Not Significant
ENSMUSG00000000811,-0.1803679105534659,0.5836379586975776,1.0,Not Significant
ENSMUSG00000000817,0.02906999885452044,0.7260456595699458,1.0,Not Significant
ENSMUSG00000000823,0.30697115729878277,0.19794666128131325,1.0,Not Significant
ENSMUSG00000000826,-0.04431986859080439,0.8653793099166771,1.0,Not Significant
ENSMUSG00000000827,0.055381815576204474,0.821926045957996,1.0,Not Significant
ENSMUSG00000000838,-0.23332694585956748,0.6673547983916603,1.0,Not Significant
ENSMUSG00000000861,0.10405743084721031,0.7806204233025312,1.0,Not Significant
ENSMUSG00000000869,-0.0024765516340240767,0.935522779178148,1.0,Not Significant
ENSMUSG00000000876,0.13283411654488653,0.695023406657455,1.0,Not Significant
ENSMUSG00000000881,0.15934519578219852,0.7239370201075882,1.0,Not Significant
ENSMUSG00000000884,0.3764680667520147,0.12730810227318892,1.0,Not Significant
ENSMUSG00000000889,2.9360215217413175,0.41128535643764685,1.0,Not Significant
ENSMUSG00000000901,0.20293545955921544,0.6009021874489184,1.0,Not Significant
ENSMUSG00000000902,0.21185047422437542,0.24171627030408638,1.0,Not Significant
ENSMUSG00000000903,0.32279835888615854,0.10991748354622453,1.0,Not Significant
ENSMUSG00000000915,0.22641205347946247,0.5686984491454345,1.0,Not Significant
ENSMUSG00000000916,0.1175927503579417,0.5457341357866201,1.0,Not Significant
ENSMUSG00000000934,-0.15308122549551584,0.012636574430482288,1.0,Not Significant
ENSMUSG00000000942,0.0379056881759664,0.9363948484395916,1.0,Not Significant
ENSMUSG00000000948,0.040613495344526684,0.6085724512610508,1.0,Not Significant
ENSMUSG00000000957,-0.006546273821922632,0.9786242252501157,1.0,Not Significant
ENSMUSG00000000958,0.05142074948745501,0.7936006988329227,1.0,Not Significant
ENSMUSG00000000959,0.21863634005138,0.1989973978638694,1.0,Not Significant
ENSMUSG00000000976,0.2330747703622218,0.15654119399066913,1.0,Not Significant
ENSMUSG00000000982,0.15821729811651583,0.1973131246745953,1.0,Not Significant
ENSMUSG00000000983,0.07801548364821857,0.42264973081037427,1.0,Not Significant
ENSMUSG00000001014,-0.11296243012757637,0.29401875882641215,1.0,Not Significant
ENSMUSG00000001016,0.1502763006130099,0.5026205144427924,1.0,Not Significant
ENSMUSG00000001017,0.10823554545211955,0.2963705061915305,1.0,Not Significant
